current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1091806223626833920,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,https://www.obwb.ca/tag/okanagan-waterwise-challenge/,1,2,False,N\A,['water'],href
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
